Time (h),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 8,Cell 9,Cell 10,Cell 11,Cell 16,Cell 17,Cell 18,Cell 22,Cell 23,Cell 25,Cell 27,Cell 30,Cell 31,Cell 32,Cell 36,Cell 38,Cell 45,Cell 46,Background,Background,Background,Background
54.5,1872.589,,2526.25,2166.154,,,2814.173,1893.788,,,2232.865,,,,,,,,,,,,,,1556.788,1418.5,1808.667,1492.765
55,1665.393,,2661.453,2082.94,,,2720.774,1854.72,,,2003.788,,,,,,,,,,,,,,1433.863,1380.058,1790.759,1534.627
55.5,1747.208,,2790.321,2189.796,,,3213.333,1756.189,,,2023.792,,,,,,,,,,,,,,1435.02,1470.327,1746.37,1426.816
56,1660.302,,2695.34,2109.686,,,3100.686,1937.769,,,1990.902,,,,,,,,,,,,,,1446.078,1403.788,1813.593,1435.163
56.5,1660.061,,2863.451,2361.13,,,3052.604,1991.808,,,2014.333,,,,,,,,,,,,,,1455.941,1475.885,1633.346,1564.184
57,1686.531,,2659.135,2098.942,,,3494.804,1811.596,,,1900.038,,,,,,,,,,,,,,1572.275,1512.115,1584.942,1450.365
57.5,1703.865,,2923.961,2267.274,,,3080.34,1832.519,,,2050.157,,,,,,,,,,,,,,1388.843,1364.731,1666.407,1407.885
58,1690.333,,2914.942,2170.061,,,3189.235,1845.846,,,1991.481,,,,,,,,,,,,,,1578.588,1455.423,1577.712,1417.212
58.5,,,3275,2143.434,,,3724.396,1756.481,,,2024.577,,,,,,,,,,,,,,1616.118,1628.423,1574.058,1451.673
59,,,3236.039,2183.849,,,3572.373,,,,2004.038,,,,,,,,,,,,,,1493.569,1489.462,1639.5,1480.192
59.5,,,3417.192,,,,2889.717,,,,1888.415,,,,,,,,,,,,,,1498.647,1530.096,1516.226,1392.346
60,,,2892.434,,,,3764.231,,,,2030.717,,,,,,,,,,,,,,1673.569,1313.5,1749.585,1405.231
60.5,,,2893.434,,,,4059.577,,,,1972.235,,,,,,,,,,,,,,1475.275,1482.077,1621.827,1383.5
61,,,2520.539,,,,,,,,2010.453,,,,,,,,,,,,,,1437.039,1553.019,1619.558,1481.038
61.5,,,2623.481,,,,,,,,1719,,,,,,,,,,,,,,1548.275,1482.5,1723.75,1515.904
62,,,2528.593,,,,,,,,1834.463,,,,,,,,,,,,,,1531.588,1413.5,1561.509,1518.019
62.5,,,2275.039,,,,,,,,1954.078,,,,,,,,,,,,,,1492.392,1351.923,1539,1516.827
63,,,2522.094,,,,,,,,1889.137,,,,,,,,,,,,,,1395.941,1448.019,1571.615,1431.154
63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
