Time (h),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 8,Cell 9,Cell 10,Cell 11,Cell 16,Cell 17,Cell 18,Cell 22,Cell 23,Cell 25,Cell 27,Cell 30,Cell 31,Cell 32,Cell 36,Cell 38,Cell 45,Cell 46,Background,Background,Background,Background
10.5,3619.679,2186.808,4347.137,3028.827,2917.264,2329.192,4174.461,2691.235,3243.863,2356.321,2414.827,2503.885,2703.51,2399.472,2011.961,1914.788,3269.352,2485.327,1865.66,2275.981,2856.192,2271.019,2774.66,2156.627,1739.87,1638.843,1788.288,1528.943
11,3752.077,2721.964,3976.549,4070.83,2261.154,2256.057,3858.057,2785.423,3361.566,2228.481,2567.685,2467.596,2618.113,2249.667,1784.923,2071.577,2988.964,2653.075,1992.094,2697.058,2686.096,2386.192,3132.961,2163.811,1668.389,1758.588,1863.25,1626.577
11.5,3885.539,2408,3422.887,4251.981,2170.902,2366.192,3677.726,2745.481,3241.868,2319.577,2521.942,2309.367,2634.808,2509.039,1811.333,1956.922,2949.784,2321.63,1894.286,2664.019,2604.098,2443.827,2669.846,2004.373,1776.704,1582.02,1805.827,1716.538
12,3489.226,2444.118,2965.346,4363.547,2502.453,2514.49,3572,3177.558,3406.51,2020.519,2381.759,2235.302,2727.269,2249.5,1852.32,2065.306,2699.196,2589.245,1918.736,2237.274,2755.981,2102.885,2455.961,2244.769,1772.63,1620.118,1811.717,1485.385
12.5,3836.3,2302.255,3586.189,4516.231,2512.211,2754.942,3398.34,3584.8,3530.077,2122.647,2915.673,2365.519,2473.358,2389.412,1870.13,1933.321,2984.24,2305,1880.731,2277.49,2889.857,2365.231,3034.711,2150.588,1724.741,1602.588,1842.231,1518.288
13,3666.78,2289.08,3597.192,4789.627,2709.283,2572.904,3499.923,4127.431,3354.925,2339.472,2718.692,2368.5,2175.346,2329.231,2227.321,2208.077,2829.875,2174.736,1729.038,2516.423,2515.231,2405.596,3018.711,2215.039,1626.463,1765.118,1975.365,1471.769
13.5,3774.16,2535.83,3248.346,4513.686,2851.461,2204.46,3558.431,3346.868,3380.077,2398.167,2522.706,2326.882,2588.096,2061.836,1833.17,2038.692,2949.333,2376.269,1902.769,2409.404,2537.096,2229.192,3148.289,2336.577,1723,1640.49,1863.058,1480.906
14,3688.679,2376.49,2896.87,4649.981,2689.115,2360.926,3558.423,3419.569,3223.904,2520.692,2372.5,2346.404,2612.823,2291.885,1910,1940.5,3314.692,2625.038,1897.904,2617.185,2574.192,2101.269,3201.135,2439.585,1556.093,1520.536,1804.442,1559.245
14.5,3647.846,2366.827,3357.846,4291.5,2813.846,2602.5,3047.196,3596.961,3442.056,2450.226,2705.327,2146.059,2621.789,2222.898,1743.093,2011.98,3123.549,2234.849,1830.706,2511.692,2673.096,2261.66,3479.412,2145.192,1696.63,1718.275,1777.25,1670.098
15,3648.808,2484.315,3512.654,4306.981,2847.745,2603.096,3322.808,3749.588,3274.38,2778.765,2773.792,2016.333,2644.442,2432.981,2094.189,1886.692,3124.882,2421.635,1859.596,2600.94,2512.961,2052.692,3264.385,2087.269,1703.685,1486.784,1840.558,1407.177
