Time (h),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Background,Background,Background,Background
19,2208.464,2237,2145.333,2380.308,2258.519,2265.269,2178.393,2260.815,2291.846,2167.875,2251.808,2229.961,2100.923,2125.12,2127.786,2089.893
19.5,2208.042,2205.385,2144.231,2356.269,2282.615,2289.308,2186.678,2230.322,2279.393,2199.077,2225.231,2217.577,2094.846,2134.8,2115.393,2097.786
20,2192.76,2226.808,2140.039,2345.5,2300,2313.731,2223.464,2219.5,2239.88,2187.407,2234.417,2204.72,2097.077,2133.48,2125.464,2102.786
20.5,2166.76,2228.37,2145.577,2328.678,2293.808,2273.625,2236.852,2226.926,2191.84,2191.5,2214.5,2184.5,2105.231,2125.08,2122.428,2094.464
21,2200.714,2207.63,2134.192,2320.731,2291.458,2277.417,2233.64,2236.792,2188.958,2195.958,2238.346,2151.192,2092.846,2124.12,2119.536,2091.072
21.5,2216.107,2187.192,2134.042,2344.923,2255.741,2288.958,2239.708,2236.222,2169.44,2190.536,2250.48,2159.5,2107.961,2136.68,2124.036,2100.393
22,2232.461,2181.346,2115.042,2402.885,2261.36,2282.333,2239,2212.643,2165.5,2174.115,2261.577,2176,2105.808,2133.88,2116.5,2095.714
22.5,2244.5,2204.961,2134.458,2425,2236.667,2281.393,2259.75,2236.25,2170.822,2169.5,2283.385,2150.36,2107,2125.36,2124.786,2096.464
23,2214.178,2215.889,2110.208,2276.461,2176.192,2250,2251.12,2234.917,2146.822,2165.923,2262.577,2125.037,2100.615,2126.48,2121.857,2090.822
23.5,2214.885,2208.667,2111.461,2273.692,2192.88,2216.192,2236.63,2273.52,2194.92,2145.154,2236.808,2105,2091.231,2117.04,2125.857,2095.214
24,2204.072,2210.963,2109.154,2291.423,2180.333,2185.667,2218.926,2298.926,2203.536,2167.308,2217.077,2103.292,2093.961,2119.84,2121.822,2083.607
24.5,2206.84,2224.36,2133.077,2274.833,2246.958,2162.84,2232.333,2275.889,2203.56,2180.444,2221.25,2119.625,2102.308,2133.36,2122.072,2090.893
25,2187.333,2227.52,2123.692,2299.808,2246.741,2147.28,2220.593,2243.481,2162.731,2171.231,2227.833,,2098.269,2127.92,2132.928,2113.714
25.5,2173.214,2197.68,2117.846,2317.4,2222.037,2120.8,2237.8,2257.115,2192.2,2188.444,2218.815,,2108.769,2131.44,2138.464,2104.928
26,2155.111,2170.56,2120.461,2240.346,2240.885,2137.24,2242.296,2254.417,2196.385,2172.815,2198.52,,2107,2134.84,2129.678,2104.786
26.5,2152.68,2136.75,,2249.111,2267.214,2113.72,2231.037,2251.667,2197.926,2174.464,2189.423,,2096.192,2122.72,2118.428,2111.167
27,2161.846,2114.5,,2255.704,2265.25,2122.28,2231.961,2264.917,2169.583,2172.423,2182.391,,2102.461,2122.72,2118.428,2103.417
27.5,2145.75,2107.708,,2285.778,2276.964,,2218.615,2304.815,2165.333,2187.25,2205.385,,2118.385,2148.44,2135.286,2105.083
28,2166.846,2108.042,,2316.923,2264.958,,2241.68,2308.111,2187.308,2181.913,2210.167,,2108.731,2148.16,2136.893,2113.083
28.5,2156.393,,,2313.76,2215.28,,2228.615,2267.577,2190.769,2178.708,2194.417,,2120.769,2122.96,2132.714,2098.375
29,2169.964,,,2270.961,2151.333,,2220.96,2198.375,2200.333,2190.333,2218.792,,2114.577,2133.88,2137.643,2108.125
29.5,2166.143,,,2263.889,2138.808,,2229.107,2143.481,2174.875,2197.643,2223.385,,2109.461,2134.24,2137.607,2107.042
30,2185.346,,,2264.678,2151.461,,2225.885,2117.259,2168.893,2195.926,2218.435,,2114.385,2139.24,2137.572,2112.958
30.5,2182.148,,,2227.259,2168.269,,2252.615,2142.815,2181.231,2181.25,2236.304,,2117.615,2137.96,2138.857,2119.083
31,2163.115,,,2239.333,2179.192,,2248.833,2140.741,2175,2192.148,2229.75,,2112.615,2142.214,2134.464,2117.333
31.5,2165.607,,,2258,2197.148,,2194.667,2126.296,2163.741,2188.44,2140.464,,2099.115,2130.536,2118.036,2098.958
32,2170.115,,,2325.958,2198.385,,2209.259,,2174.5,2181.731,2159.259,,2105.769,2126.036,2134.643,2100.643
